serial_number,model,date,failure_probability,actual_failure_7d
PL2331LAHBT01J,HGST HMS5C4040BLE640,2020-06-30,0.990511,0
ZJV03SGL,ST12000NM0007,2020-06-30,0.9904621,0
ZCH07RST,ST12000NM0007,2020-06-30,0.9902174,0
ZA12QCFX,ST8000DM002,2020-06-30,0.9901157,0
ZCH0E6FA,ST12000NM0007,2020-05-04,0.98999435,1
Z305D5W0,ST4000DM000,2020-06-30,0.98992914,0
ZJV000QM,ST12000NM0007,2020-06-30,0.9895327,0
ZA1819EP,ST8000NM0055,2020-06-29,0.98946697,1
177QT3ELT,TOSHIBA MQ01ABF050M,2020-06-30,0.9889471,0
ZJV0KP0Y,ST12000NM0007,2020-05-15,0.9889148,1
ZCH06WVS,ST12000NM0007,2020-05-19,0.9887679,1
ZCH0A70L,ST12000NM0007,2020-05-01,0.9887293,1
ZCH09PGZ,ST12000NM0007,2020-06-30,0.98860174,0
ZJV0D8QH,ST12000NM0007,2020-05-10,0.9884786,1
ZHZ4WN2M,ST12000NM0008,2020-06-30,0.9884416,0
ZCH06MBD,ST12000NM0007,2020-06-30,0.98826563,0
AAG1UY5H,HGST HUH721212ALN604,2020-06-30,0.9881109,0
ZA189W6J,ST8000NM0055,2020-06-30,0.98808634,0
AAG74AYH,HGST HUH721212ALN604,2020-06-30,0.9880607,0
ZHZ3PXGC,ST12000NM0008,2020-06-30,0.98805934,0
ZA11RX7Y,ST8000DM002,2020-06-30,0.9880336,0
ZJV3A7PP,ST12000NM0007,2020-06-30,0.98801893,0
ZCH09W3W,ST12000NM0007,2020-06-30,0.9878544,0
ZCH0CZ9C,ST12000NM0007,2020-06-30,0.98753554,0
ZCH02ZTL,ST12000NM0007,2020-06-30,0.98744744,0
ZCH065FZ,ST12000NM0007,2020-05-04,0.98723733,1
ZCH06VFY,ST12000NM0007,2020-06-04,0.9872235,0
ZCH06W5F,ST12000NM0007,2020-06-30,0.9871013,0
ZA217VJR,ST10000NM0086,2020-06-30,0.9868509,0
ZCH0BNLV,ST12000NM0007,2020-06-30,0.98676455,0
ZCH0863A,ST12000NM0007,2020-06-30,0.98675215,0
ZCH06MVJ,ST12000NM0007,2020-06-30,0.98675215,0
ZCH0788L,ST12000NM0007,2020-06-10,0.98671037,0
ZJV5G5GB,ST12000NM0007,2020-06-30,0.9865002,0
ZCH085S5,ST12000NM0007,2020-06-30,0.98649687,0
ZA17ZNMY,ST8000NM0055,2020-06-30,0.9864703,0
Z305D6VB,ST4000DM000,2020-06-30,0.98640835,0
ZJV0VWYN,ST12000NM0007,2020-06-30,0.9863956,0
PL1331LAHBXRHH,HGST HMS5C4040BLE640,2020-06-30,0.9863012,0
ZCH0EA28,ST12000NM0007,2020-06-30,0.9862752,0
ZCH07HJY,ST12000NM0007,2020-05-05,0.9857992,1
PL2331LAH791EJ,HGST HMS5C4040BLE640,2020-06-08,0.98575735,1
ZA180Z35,ST8000NM0055,2020-06-30,0.985592,0
ZHZ4YPHK,ST12000NM0008,2020-05-21,0.98556364,1
ZA1814FX,ST8000NM0055,2020-05-10,0.985518,1
ZCH0703T,ST12000NM0007,2020-06-30,0.9854944,0
564ESIYJS,TOSHIBA MQ01ABF050,2020-06-30,0.98534817,0
ZHZ3R0QW,ST12000NM0008,2020-06-30,0.9853044,0
Z7GIT906T,TOSHIBA MQ01ABF050M,2020-06-30,0.9852964,0
Z302SN1T,ST4000DM000,2020-06-30,0.9850204,0
ZCH0AGX7,ST12000NM0007,2020-06-30,0.9847727,0
ZJV0WGDM,ST12000NM0007,2020-06-30,0.98441964,0
ZA21C1AF,ST10000NM0086,2020-06-30,0.98436105,0
ZA11MX57,ST8000DM002,2020-06-30,0.984312,0
57QEWPXXT,TOSHIBA MQ01ABF050,2020-06-30,0.9842889,0
ZCH0CCRC,ST12000NM0007,2020-06-30,0.98423344,0
ZA154Z11,ST8000NM0055,2020-06-02,0.9841208,1
ZJV0WFRC,ST12000NM0007,2020-06-30,0.98411167,0
39W0A002F97G,TOSHIBA MG07ACA14TA,2020-06-30,0.9838665,0
Z305DHST,ST4000DM000,2020-06-30,0.9838493,0
ZHZ3T6TV,ST12000NM0008,2020-06-30,0.9837839,0
ZCH0A3E2,ST12000NM0007,2020-06-30,0.98374975,0
ZCH0847X,ST12000NM0007,2020-06-30,0.98364645,0
ZHZ2N3TS,ST12000NM0008,2020-06-30,0.9836379,0
ZJV0WBRJ,ST12000NM0007,2020-06-30,0.98335415,0
ZL202NFZ,ST16000NM001G,2020-06-01,0.98323244,1
ZA18BLY0,ST8000NM0055,2020-06-30,0.9831744,0
ZA17G8AY,ST8000NM0055,2020-06-30,0.9831526,0
2AGMM0UY,HGST HUH721212ALN604,2020-06-30,0.9830661,0
ZA217NNZ,ST10000NM0086,2020-06-30,0.9829898,0
ZCH0EF2Q,ST12000NM0007,2020-06-30,0.98293316,0
Z3052KFM,ST4000DM000,2020-06-30,0.9827848,0
57QEWPY1T,TOSHIBA MQ01ABF050,2020-06-26,0.9827413,1
ZA19QJKK,ST8000NM0055,2020-06-30,0.98273474,0
87DFWOFQT,TOSHIBA MQ01ABF050,2020-06-30,0.98257625,0
Z305Q0A4,ST4000DM000,2020-06-30,0.98254275,0
175PP3IIT,TOSHIBA MQ01ABF050M,2020-06-30,0.9824456,0
ZCH0DG24,ST12000NM0007,2020-06-30,0.9823643,0
ZCH0C8JS,ST12000NM0007,2020-06-30,0.981832,0
ZJV0WG3R,ST12000NM0007,2020-06-30,0.98158604,0
ZCH06K1B,ST12000NM0007,2020-05-06,0.98155767,0
ZHZ50QZQ,ST12000NM0008,2020-05-30,0.9815487,1
ZJV5GHLK,ST12000NM0007,2020-06-30,0.98144835,0
ZA219GSA,ST10000NM0086,2020-06-30,0.9813782,0
Z305D6ZM,ST4000DM000,2020-06-30,0.98135686,0
S2ZYJ9FG404853,ST500LM012 HN,2020-06-30,0.98118055,0
