serial_number,model,date,failure_probability,actual_failure_7d
PL1331LAHGVK8H,HGST HMS5C4040ALE640,2020-06-30,0.24531922,0
ZA180QF2,ST8000NM0055,2020-06-30,0.24528053,0
ZA186992,ST8000NM0055,2020-06-30,0.24528053,0
ZA1816WZ,ST8000NM0055,2020-06-30,0.24528053,0
ZA1805Y2,ST8000NM0055,2020-06-30,0.24528053,0
ZA189JGG,ST8000NM0055,2020-06-30,0.24528053,0
ZA180Z33,ST8000NM0055,2020-06-30,0.24528053,0
ZA189KAG,ST8000NM0055,2020-06-30,0.24528053,0
ZA189Y73,ST8000NM0055,2020-06-30,0.24528053,0
ZA180WQ9,ST8000NM0055,2020-06-30,0.24528053,0
ZA1818B3,ST8000NM0055,2020-06-30,0.24528053,0
ZA189HD1,ST8000NM0055,2020-06-30,0.24528053,0
ZA180RBP,ST8000NM0055,2020-06-30,0.24528053,0
ZA180R3Z,ST8000NM0055,2020-06-30,0.24528053,0
ZA180QJD,ST8000NM0055,2020-06-30,0.24528053,0
ZA18BTTZ,ST8000NM0055,2020-06-30,0.24528053,0
ZA1803RW,ST8000NM0055,2020-06-30,0.24528053,0
ZA18BLKJ,ST8000NM0055,2020-06-30,0.24528053,0
ZA189WKY,ST8000NM0055,2020-06-30,0.24528053,0
ZA180YZ7,ST8000NM0055,2020-06-30,0.24528053,0
ZA189K6B,ST8000NM0055,2020-06-30,0.24528053,0
ZA1818S6,ST8000NM0055,2020-06-30,0.24528053,0
ZA189WYA,ST8000NM0055,2020-06-30,0.24528053,0
ZA189HRN,ST8000NM0055,2020-06-30,0.24528053,0
ZA181LBS,ST8000NM0055,2020-06-30,0.24528053,0
ZA180QSN,ST8000NM0055,2020-06-30,0.24528053,0
ZA183SN1,ST8000NM0055,2020-06-30,0.24528053,0
ZA189JMK,ST8000NM0055,2020-06-30,0.24528053,0
ZA180Y7D,ST8000NM0055,2020-06-30,0.24528053,0
ZA1819K8,ST8000NM0055,2020-06-30,0.24528053,0
ZA180S6N,ST8000NM0055,2020-06-30,0.24528053,0
ZA18CE0T,ST8000NM0055,2020-06-30,0.24528053,0
ZA1805FZ,ST8000NM0055,2020-06-30,0.24528053,0
ZA1810KS,ST8000NM0055,2020-06-30,0.24528053,0
ZA18144C,ST8000NM0055,2020-06-30,0.24528053,0
ZA189JM2,ST8000NM0055,2020-06-30,0.24528053,0
ZA180QB3,ST8000NM0055,2020-06-30,0.24528053,0
PL1331LAHD3V6H,HGST HMS5C4040BLE640,2020-06-30,0.24522495,0
PL1331LAHBS0TH,HGST HMS5C4040BLE640,2020-06-30,0.24522495,0
PL1331LAHBX93H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHBS3NH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHBSK6H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHGYLXH,HGST HMS5C4040ALE640,2020-06-30,0.24514136,0
PL2331LAHDEU5J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHBGT4H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAH453DJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAH3ARNJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDEZUJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHD37MH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHBGSBH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHETANH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHGDAKH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHBGS0H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAH3B46J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDE99J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHERJTH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDEV0J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDER7J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDAR2J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDEU6J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHAUW2J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHBYBWH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDEVMJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDEUMJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAH2B45H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDES5J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHBSRPH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAH44WNJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDEBPJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHGVGTH,HGST HMS5C4040ALE640,2020-06-30,0.24514136,0
PL1331LAHGVBMH,HGST HMS5C4040ALE640,2020-06-30,0.24514136,0
PL2331LAH4726J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAH3DMRH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAH3HGJJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAH3DMTH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHAWNLJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHETMBH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAH3HK8J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHD1K0H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAH3JJSJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHBGN8H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDAVPJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHERK8H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHBGJGH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHBSBSH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAH3HSZJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDAU6J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHESHWH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAH435UJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDUE2J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHEJ4LH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDN3SJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDD8BJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDN1UJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHETM2H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAGBZNWH,HGST HMS5C4040ALE640,2020-06-30,0.24514136,0
PL1331LAHEPMYH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHDZU2H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHDZTRH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHBZE0H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHDZW9H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHDZTPH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHDZTJH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHDZN0H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHDZSJH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHER01H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHESWZH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHA7D4J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHET4NH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHEMZ7H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHEM27H,HGST HMS5C4040ALE640,2020-06-30,0.24514136,0
PL2331LAHBX3EJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHEM3YH,HGST HMS5C4040ALE640,2020-06-30,0.24514136,0
PL1331LAHEM4AH,HGST HMS5C4040ALE640,2020-06-30,0.24514136,0
PL2331LAHDL2DJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHEN7RH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDKMMJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHG9VYH,HGST HMS5C4040ALE640,2020-06-30,0.24514136,0
PL2331LAHD8B0J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHEKVJH,HGST HMS5C4040ALE640,2020-06-30,0.24514136,0
PL2331LAHDTDUJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHGDLWH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDUAZJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDBP6J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDB5PJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDB5ZJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAGBWVLH,HGST HMS5C4040ALE640,2020-06-30,0.24514136,0
PL1331LAHESZPH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDLYVJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDB3TJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDLY0J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHAZRTJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAH3KBMJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHDNZ6H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAH3K7UJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDSMRJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDSY2J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDS1BJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDRTAJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDRSUJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDS4DJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHET83H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDLV8J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDS3SJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHDDT4H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDWDDJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDD4MJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDNRBJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAH3GSSH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDWAUJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHD46BH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDW8SJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHGAWTH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDX5UJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHEZN8H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAH383YH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHD0R1H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHBZN2H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHAB5EJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHD04GH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHDA53J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHGB0BH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHG58NH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHG5A5H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHD3J7H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHBA3WJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHB908J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHB9NGJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHBZW8H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHD9YUJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHB314J,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHD10TH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHBYRRH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHERKEH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHD0RRH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHD0ZXH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHD0TBH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHEZN2H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHEZLVH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHB1RMJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHG6JRH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL2331LAHAD0DJ,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHD0YJH,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
PL1331LAHD117H,HGST HMS5C4040BLE640,2020-06-30,0.24514136,0
ZJV03GK0,ST12000NM0007,2020-06-30,0.24509816,0
ZJV02W8D,ST12000NM0007,2020-06-30,0.24509816,0
ZJV000K2,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0CK72,ST12000NM0007,2020-06-30,0.24508166,0
ZCH08XK3,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0D20K,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0D5M6,ST12000NM0007,2020-06-30,0.24508166,0
ZJV05D8F,ST12000NM0007,2020-06-30,0.24508166,0
ZJV023MR,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0BH5Z,ST12000NM0007,2020-06-30,0.24508166,0
ZJV03K4J,ST12000NM0007,2020-06-30,0.24508166,0
ZJV0DJ7L,ST12000NM0007,2020-06-30,0.24508166,0
ZJV031W6,ST12000NM0007,2020-06-30,0.24508166,0
ZCH07GM5,ST12000NM0007,2020-06-30,0.24508166,0
ZJV03P9A,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0B6FL,ST12000NM0007,2020-06-27,0.24508166,0
ZCH0B0W8,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0CB1L,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0EF5H,ST12000NM0007,2020-06-30,0.24508166,0
ZJV041KX,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0A6HS,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0CEJJ,ST12000NM0007,2020-06-30,0.24508166,0
ZJV04ABZ,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0CK3W,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0A6SH,ST12000NM0007,2020-06-30,0.24508166,0
ZJV0K918,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0BRTL,ST12000NM0007,2020-06-30,0.24508166,0
ZJV03XLP,ST12000NM0007,2020-06-30,0.24508166,0
ZJV03XHK,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0BTGX,ST12000NM0007,2020-06-30,0.24508166,0
ZJV024B1,ST12000NM0007,2020-06-30,0.24508166,0
ZJV03DD8,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0AYHZ,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0EEMK,ST12000NM0007,2020-06-30,0.24508166,0
ZJV043P7,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0AKRE,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0D2GT,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0D4C0,ST12000NM0007,2020-06-30,0.24508166,0
ZJV000WS,ST12000NM0007,2020-06-30,0.24508166,0
ZJV03KF5,ST12000NM0007,2020-06-30,0.24508166,0
ZCH05MA7,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0FHFD,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0BDYQ,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0DYKC,ST12000NM0007,2020-06-30,0.24508166,0
ZJV04F0F,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0C9YR,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0CVNV,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0EED4,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0CZXF,ST12000NM0007,2020-06-30,0.24508166,0
ZJV0554C,ST12000NM0007,2020-06-30,0.24508166,0
ZJV09XMY,ST12000NM0007,2020-06-30,0.24508166,0
ZJV0L4N5,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0D2XB,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0CTTS,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0C8H7,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0CD44,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0BKSR,ST12000NM0007,2020-06-30,0.24508166,0
ZJV0F9JX,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0CDHQ,ST12000NM0007,2020-06-30,0.24508166,0
ZJV0D87E,ST12000NM0007,2020-06-30,0.24508166,0
ZJV0C6RX,ST12000NM0007,2020-06-30,0.24508166,0
ZJV04CLS,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0CZRP,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0CCP5,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0B79Z,ST12000NM0007,2020-06-30,0.24508166,0
ZCH095JS,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0AYWK,ST12000NM0007,2020-06-30,0.24508166,0
ZJV038YQ,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0CDJ9,ST12000NM0007,2020-06-30,0.24508166,0
ZCH09R17,ST12000NM0007,2020-06-27,0.24508166,0
ZCH0CKH8,ST12000NM0007,2020-06-30,0.24508166,0
ZJV0EV81,ST12000NM0007,2020-06-30,0.24508166,0
ZJV00GNS,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0ADW9,ST12000NM0007,2020-06-30,0.24508166,0
ZJV03RN6,ST12000NM0007,2020-06-30,0.24508166,0
ZJV05SH1,ST12000NM0007,2020-06-30,0.24508166,0
ZJV0KNV9,ST12000NM0007,2020-06-30,0.24508166,0
ZJV00HCT,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0CCRJ,ST12000NM0007,2020-06-30,0.24508166,0
ZJV0KNV2,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0BJ0N,ST12000NM0007,2020-06-30,0.24508166,0
ZCH0E8QP,ST12000NM0007,2020-06-30,0.24508166,0
ZHZ3RWRH,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3QXMJ,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3NC9R,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3N9DQ,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3R6XJ,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ4FMWQ,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3QTS0,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3V4NN,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3QY43,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3PS19,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3SPLR,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3RCGH,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3QCNQ,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3PMYJ,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3SQCL,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3QY5D,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3QYMF,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3MNE6,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3HCNB,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ4EQMD,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ3RBM2,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ46K4T,ST12000NM0008,2020-06-30,0.24507464,0
ZHZ4302P,ST12000NM0008,2020-06-30,0.24507464,0
ZA13JT5L,ST8000DM002,2020-06-30,0.24506064,0
PL2331LAHDXEAJ,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL2331LAHD7PMJ,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL2331LAHDWP4J,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL2331LAHDT8EJ,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL2331LAHDNN4J,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL2331LAHDSTGJ,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL2331LAHE3UUJ,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL1331LAHBYRUH,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL1331LAHE1A4H,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL2331LAHE3VLJ,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL2331LAH938PJ,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL1331LAHDP57H,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL2331LAHE3T2J,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL1331LAHD2NXH,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL2331LAHDWMNJ,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL2331LAHDDE4J,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL1331LAHDY6NH,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL2331LAHDUJSJ,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL1331LAHDZM8H,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL2331LAHDWN6J,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL2331LAHDUU7J,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL2331LAHDWNGJ,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL2331LAHDG8ZJ,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
PL2331LAHDHV5J,HGST HMS5C4040BLE640,2020-06-30,0.2450556,0
ZA123D48,ST8000DM002,2020-06-30,0.24501993,0
ZHZ65BJ6,ST12000NM0008,2020-06-30,0.24501514,0
ZL0055V3,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ65BMM,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ65P6Z,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ65FQB,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ65XD1,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ6525V,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ65X38,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ666SV,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ65MXX,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ65C16,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ6585X,ST12000NM0008,2020-06-30,0.24501514,0
ZL0056B8,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ61GYR,ST12000NM0008,2020-06-30,0.24501514,0
ZL0055WP,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ65A45,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ64Y34,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ65ELE,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ65BKN,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ5Z5MM,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ61S7L,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ65ERA,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ65EME,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ65XB1,ST12000NM0008,2020-06-30,0.24501514,0
ZHZ65BHB,ST12000NM0008,2020-06-30,0.24501514,0
ZA1BHGKE,ST8000NM0055,2020-06-30,0.24498872,0
PL1331LAHDYV7H,HGST HMS5C4040BLE640,2020-06-30,0.24490541,0
PL1331LAHD03NH,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
PL1331LAHD46SH,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
PL1331LAHD06SH,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
PL2331LAHDDBUJ,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
PL1331LAHD37WH,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
PL2331LAG9WSTJ,HGST HMS5C4040ALE640,2020-06-30,0.24481896,0
PL1331LAHD4GWH,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
PL1331LAHD657H,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
PL2331LAHDAR7J,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
PL1331LAHBZWLH,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
PL1331LAHD9B8H,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
Z3058B47,ST4000DM000,2020-06-30,0.24481896,0
PL2331LAHB8B2J,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
PL2331LAHB86XJ,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
PL1331LAHD1W9H,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
PL1331LAHD1PHH,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
PL1331LAHBGJ6H,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
PL2331LAHD7MGJ,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
PL2331LAHD9VHJ,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
PL2331LAHD9PJJ,HGST HMS5C4040BLE640,2020-06-30,0.24481896,0
